,dataset,our_score,target
195,LL0_1531_volcanoes_b1,0.2929583409856457,0.23280206124449915
196,LL0_840_autoHorse,0.9212801087801088,0.9579655317360236
197,LL0_186_braziltourism,0.24325488226331263,0.11205936920222637
198,LL0_1569_poker_hand,N/A,0.1145127096608444
199,LL0_315_us_crime,N/A,0.017485560463964055
200,LL0_494_analcatdata_hiroshima,N/A,20.766679197115646
201,LL0_1538_volcanoes_d1,0.23262679378732826,0.20546642899584072
202,LL0_1451_piechart1,0.634821796479687,0.46768060836501896
203,LL0_676_disclosure_x_tampered,938584860.9710076,740058626.6870744
204,LL0_4153_Smartphone_Based_Recognition_of_Human_Activities,N/A,0.9055722055722056
205,LL0_28_optdigits,0.9547624181623787,0.9607777331848638
206,LL0_216_elevators,N/A,8.084440828108967e-06
207,LL0_23395_comet_mc_sample,N/A,0.022184413203308308
208,LL0_703_chscase_foot,0.6668926406019822,2.694655990414593
209,LL0_962_mfeat_morphological,0.994642259180712,0.9553158130506196
210,LL0_1037_ada_prior,N/A,0.7697941287053037
211,LL0_55_hepatitis,0.7994227994227995,0.684961034654286
212,LL0_294_satellite_image,N/A,1.4616183811563268
213,LL0_uci_yacht_hydrodynamics,3.158666195705403,1383.3971747903431
214,LL0_191_wisconsin,1048.6500730479002,1317.8300149639806
215,LL0_1054_mc2,0.6861904761904761,0.4657600777076251
216,LL0_179_adult,N/A,0.7866790662937293
217,LL0_238_drivface,N/A,0.9136363636363636
218,LL0_31_credit_g,N/A,0.6514671992625596
219,LL0_8_liver_disorders,9.840615905654007,9.855713065942757
220,LL0_536_arsenic_male_lung,1423.30130099414,6695.281581186792
221,LL0_40663_calendarDOW,0.5888210482328129,0.5985217391304347
222,LL0_1457_amazon_commerce_reviews,N/A,0.7720338550338549
223,LL0_40706_parity5_plus_5,N/A,0.36260162601626017
224,LL0_1049_pc4,0.686545828914819,0.7032330972134175
225,LL0_968_analcatdata_birthday,0.718032463146445,0.7767857142857143
226,LL0_1027_esl,N/A,0.2737235707120926
227,LL0_42_soybean,N/A,0.9424581836428017
228,LL0_1525_wall_robot_navigation,0.9986489907311492,0.8992650019384418
229,LL0_1041_gina_prior2,N/A,0.6916633950604332
230,LL0_503_wind,N/A,9.972139489235357
231,LL0_500_analcatdata_vineyard,N/A,12.5110767402001
232,LL0_1557_abalone,0.6233063191565826,0.6081876116278583
233,LL0_189_kin8nm,N/A,0.04089833100700943
234,LL0_1220_click_prediction_small,N/A,0.5734020676769517
235,LL0_375_japanesevowels,0.9392695525095929,0.925397896321874
236,LL0_32_pendigits,0.985560920310158,0.9204335891589992
